station,time,waterMeasured
Innova-1,1689720323,16.53
Innova-1,1689720325,15.73
Innova-1,1689720327,14.93
Innova-1,1689720330,15.87
Innova-1,1689720333,24.53
Innova-1,1689720335,16.27
Innova-1,1689720337,16
Innova-1,1689720339,14.67
Innova-1,1689720341,15.73
Innova-1,1689720344,16.13
Innova-1,1689720347,23.73
Innova-1,1689720349,15.2
Innova-1,1689720351,16.53
Innova-1,1689720353,15.6
Innova-1,1689720355,17.2
Innova-1,1689720357,15.33
Innova-1,1689720360,15.6
Innova-1,1689720363,27.47
Innova-1,1689720365,15.07
Innova-1,1689720368,16
Innova-1,1689720370,14.67
Innova-1,1689720372,16.27
Innova-1,1689720374,17.07
Innova-1,1689720376,15.73
Innova-1,1689720379,22
Innova-1,1689720381,16.8
Innova-1,1689720383,16.93
Innova-1,1689720385,17.33
Innova-1,1689720390,31.33
Innova-1,1689720392,16.53
Innova-1,1689720395,26.8
Innova-1,1689720397,16
Innova-1,1689720399,14.8
Innova-1,1689720402,16.4
Innova-1,1689720404,15.6
Innova-1,1689720406,17.2
Innova-1,1689720409,23.47
Innova-1,1689720411,16.27
Innova-1,1689720413,16
Innova-1,1689720416,17.73
Innova-1,1689720418,14.93
Innova-1,1689720420,15.87
Innova-1,1689720423,22
Innova-1,1689720425,15.47
Innova-1,1689720427,16.67
Innova-1,1689720429,15.6
Innova-1,1689720431,16.67
Innova-1,1689720433,16
Innova-1,1689720436,18.53
Innova-1,1689720438,16.4
Innova-1,1689720440,16.67
Innova-1,1689720442,15.47
Innova-1,1689720445,23.07
Innova-1,1689720447,15.33
Innova-1,1689720450,17.73
Innova-1,1689720452,15.73
Innova-1,1689720454,17.73
Innova-1,1689720456,15.33
Innova-1,1689720458,16.4
Innova-1,1689720461,21.87
Innova-1,1689720463,16.4
Innova-1,1689720465,16
Innova-1,1689720468,15.87
Innova-1,1689720470,15.87
Innova-1,1689720472,15.73
Innova-1,1689720474,16.4
Innova-1,1689720476,15.47
Innova-1,1689720478,18.53
Innova-1,1689720482,25.47
Innova-1,1689720484,16.13
Innova-1,1689720486,17.33
Innova-1,1689720488,16.27
Innova-1,1689720490,15.73
Innova-1,1689720493,15.47
Innova-1,1689720495,16.67
Innova-1,1689720497,16.93
Innova-1,1689720499,15.87
Innova-1,1689720502,24
Innova-1,1689720504,16.93
Innova-1,1689720506,15.2
Innova-1,1689720509,16.27
Innova-1,1689720511,16.13
Innova-1,1689720513,14.8
Innova-1,1689720515,15.47
Innova-1,1689720517,15.07
Innova-1,1689720519,16.13
Innova-1,1689720522,15.47
Innova-1,1689720524,16.67
Innova-1,1689720526,14.67
Innova-1,1689720530,30.8
Innova-1,1689720532,16.8
Innova-1,1689720534,16.8
Innova-1,1689720536,15.33
Innova-1,1689720538,15.33
Innova-1,1689720545,46.93
Innova-1,1689720547,16
Innova-1,1689720549,17.2
Innova-1,1689720551,16.53
Innova-1,1689720555,26.93
Innova-1,1689720557,16.27
Innova-1,1689720559,15.6
Innova-1,1689720564,31.73
Innova-1,1689720566,15.73
Innova-1,1689720568,15.07
Innova-1,1689720570,13.87
Innova-1,1689720572,16.8
Innova-1,1689720574,14.8
Innova-1,1689720576,16.53
Innova-1,1689720579,16.4
Innova-1,1689720582,27.47
Innova-1,1689720584,15.2
Innova-1,1689720586,17.2
Innova-1,1689720589,14.93
Innova-1,1689720591,15.87
Innova-1,1689720593,15.07
Innova-1,1689720595,16.8
Innova-1,1689720598,23.07
Innova-1,1689720600,16.4
Innova-1,1689720603,16.8
Innova-1,1689720605,15.73
Innova-1,1689720607,16
Innova-1,1689720609,13.87
Innova-1,1689720611,17.07
Innova-1,1689720613,16.4
Innova-1,1689720616,16.27
Innova-1,1689720618,15.87
Innova-1,1689720620,14.8
Innova-1,1689720622,15.07
Innova-1,1689720625,20
Innova-1,1689720627,15.73
Innova-1,1689720631,34.4
Innova-1,1689720633,16.93
Innova-1,1689720636,16.13
Innova-1,1689720638,22.53
Innova-1,1689720641,16
Innova-1,1689720643,16.13
Innova-1,1689720645,15.2
Innova-1,1689720647,13.33
Innova-1,1689720649,14.67
Innova-1,1689720651,15.6
Innova-1,1689720654,15.47
Innova-1,1689720656,15.87
Innova-1,1689720658,14.53
Innova-1,1689720660,17.2
Innova-1,1689720662,15.47
Innova-1,1689720666,28.93
Innova-1,1689720668,15.33
Innova-1,1689720670,16.4
Innova-1,1689720672,14.13
Innova-1,1689720675,16.4
Innova-1,1689720677,16
Innova-1,1689720679,15.6
Innova-1,1689720681,15.47
Innova-1,1689720683,15.87
Innova-1,1689720685,16.27
Innova-1,1689720687,16.93
Innova-1,1689720690,15.87
Innova-1,1689720692,14.13
Innova-1,1689720694,16
Innova-1,1689720696,16.4
Innova-1,1689720698,16
Innova-1,1689720700,17.33
Innova-1,1689720702,14.93
Innova-1,1689720705,12.53
Innova-1,1689720707,6.13
Innova-1,1689720711,11.2
Innova-1,1689720713,8
Innova-1,1689720716,13.6
Innova-1,1689720719,7.47
Innova-1,1689720721,8.53
Innova-1,1689720723,8.4
Innova-1,1689720725,7.07
Innova-1,1689720727,7.87
Innova-1,1689720729,8.27
Innova-1,1689720732,9.33
Innova-1,1689720734,8.67
Innova-1,1689720736,8.27
Innova-1,1689720738,8
Innova-1,1689720740,5.2
Innova-1,1689720743,10.67
Innova-1,1689720745,5.6
Innova-1,1689720747,9.07
Innova-1,1689720749,6.4
Innova-1,1689720751,7.47
Innova-1,1689720753,8.13
Innova-1,1689720755,7.6
Innova-1,1689720758,8.53
Innova-1,1689720760,9.47
Innova-1,1689720762,7.87
Innova-1,1689720764,5.87
Innova-1,1689720766,9.87
Innova-1,1689720769,8.13
Innova-1,1689720771,8
Innova-1,1689720773,8.8
Innova-1,1689720775,7.6
Innova-1,1689720777,7.87
Innova-1,1689720779,8.53
Innova-1,1689720781,6.4
Innova-1,1689720784,7.6
Innova-1,1689720786,8.67
Innova-1,1689720788,7.47
Innova-1,1689720791,10
Innova-1,1689720793,7.2
Innova-1,1689720795,6.8
Innova-1,1689720797,7.87
Innova-1,1689720799,7.47
Innova-1,1689720802,8
Innova-1,1689720804,6
Innova-1,1689720806,14.93
Innova-1,1689720808,8.4
Innova-1,1689720810,9.07
Innova-1,1689720812,8
Innova-1,1689720814,6.4
Innova-1,1689720817,7.33
Innova-1,1689720819,7.07
Innova-1,1689720821,8
Innova-1,1689720823,6.67
Innova-1,1689720825,8.27
Innova-1,1689720829,13.33
Innova-1,1689720832,11.2
Innova-1,1689720835,10.67
Innova-1,1689720837,6
Innova-1,1689720840,6.8
Innova-1,1689720842,7.07
Innova-1,1689720844,6.4
Innova-1,1689720846,7.2
Innova-1,1689720848,7.6
Innova-1,1689720850,8.8
Innova-1,1689720852,6.8
Innova-1,1689720855,8.53
Innova-1,1689720859,14.8
Innova-1,1689720861,8.53
Innova-1,1689720863,6.67
Innova-1,1689720865,8.53
Innova-1,1689720867,7.47
Innova-1,1689720870,10.8
Innova-1,1689720874,12.53
Innova-1,1689720876,7.07
Innova-1,1689720878,6.93
Innova-1,1689720880,8.53
Innova-1,1689720882,6.53
Innova-1,1689720884,6.8
Innova-1,1689720886,5.33
Innova-1,1689720889,7.47
Innova-1,1689720891,7.87
Innova-1,1689720894,14.13
Innova-1,1689720896,8.8
Innova-1,1689720898,8.13
Innova-1,1689720901,8.8
Innova-1,1689720903,8.13
Innova-1,1689720905,7.33
Innova-1,1689720907,9.33
Innova-1,1689720909,6.67
Innova-1,1689720911,8.4
Innova-1,1689720914,10.4
Innova-1,1689720916,6.27
Innova-1,1689720918,8.27
Innova-1,1689720921,6.27
Innova-1,1689720923,9.07
Innova-1,1689720925,7.73
Innova-1,1689720927,7.2
Innova-1,1689720929,7.6
Innova-1,1689720931,6.27
Innova-1,1689720933,7.2
Innova-1,1689720937,13.33
Innova-1,1689720939,5.47
Innova-1,1689720941,6.4
Innova-1,1689720943,8.27
Innova-1,1689720945,8.53
Innova-1,1689720948,7.73
Innova-1,1689720950,9.07
Innova-1,1689720952,5.33
Innova-1,1689720954,9.2
Innova-1,1689720956,9.2
Innova-1,1689720958,7.2
Innova-1,1689720960,8.13
Innova-1,1689720963,8.67
Innova-1,1689720965,8.27
Innova-1,1689720967,7.87
Innova-1,1689720971,13.6
Innova-1,1689720973,6.4
Innova-1,1689720975,8
Innova-1,1689720978,8.27
Innova-1,1689720980,7.87
Innova-1,1689720982,9.07
Innova-1,1689720985,9.6
Innova-1,1689720987,7.2
Innova-1,1689720989,7.07
Innova-1,1689720991,8.67
Innova-1,1689720994,10.27
Innova-1,1689720997,10.13
Innova-1,1689721001,15.87
Innova-1,1689721004,10.27
Innova-1,1689721006,6.8
Innova-1,1689721009,8
Innova-1,1689721011,7.33
Innova-1,1689721013,6.53
Innova-1,1689721016,9.07
Innova-1,1689721018,8
