station,time,waterMeasured
Innova-1,1688616000,0
Innova-1,1688616002,0.27
Innova-1,1688616004,0
Innova-1,1688616007,0
Innova-1,1688616009,0
Innova-1,1688616011,0.13
Innova-1,1688616013,0
Innova-1,1688616016,0
Innova-1,1688616018,0.13
Innova-1,1688616020,0
Innova-1,1688616022,0
Innova-1,1688616024,0
Innova-1,1688616026,0
Innova-1,1688616029,0
Innova-1,1688616031,0
Innova-1,1688616033,0
Innova-1,1688616035,0
Innova-1,1688616037,0
Innova-1,1688616039,0
Innova-1,1688616041,0.13
Innova-1,1688616044,0
Innova-1,1688616046,0
Innova-1,1688616049,0
Innova-1,1688616051,0
Innova-1,1688616053,0
Innova-1,1688616055,0
Innova-1,1688616057,0
Innova-1,1688616060,0
Innova-1,1688616062,0
Innova-1,1688616064,0.13
Innova-1,1688616066,0
Innova-1,1688616068,0
Innova-1,1688616070,0
Innova-1,1688616072,0
Innova-1,1688616075,0
Innova-1,1688616077,0
Innova-1,1688616079,0
Innova-1,1688616081,0
Innova-1,1688616083,0
Innova-1,1688616085,0
Innova-1,1688616088,0
Innova-1,1688616090,0.13
Innova-1,1688616092,0
Innova-1,1688616094,0
Innova-1,1688616096,0
Innova-1,1688616098,0
Innova-1,1688616101,0
Innova-1,1688616103,0
Innova-1,1688616105,0
Innova-1,1688616107,0
Innova-1,1688616109,0
Innova-1,1688616111,0.4
Innova-1,1688616113,0
Innova-1,1688616116,0
Innova-1,1688616118,0
Innova-1,1688616120,0
Innova-1,1688616122,0
Innova-1,1688616124,0.13
Innova-1,1688616126,0
Innova-1,1688616128,0
Innova-1,1688616131,0
Innova-1,1688616133,0
Innova-1,1688616135,0
Innova-1,1688616137,0
Innova-1,1688616139,0
Innova-1,1688616141,0
Innova-1,1688616144,0
Innova-1,1688616146,0.13
Innova-1,1688616148,0
Innova-1,1688616150,0.13
Innova-1,1688616152,0
Innova-1,1688616154,0.13
Innova-1,1688616156,0
Innova-1,1688616159,0.13
Innova-1,1688616161,0
Innova-1,1688616163,0.13
Innova-1,1688616165,0
Innova-1,1688616167,0
Innova-1,1688616169,0
Innova-1,1688616171,0
Innova-1,1688616174,0
Innova-1,1688616176,0
Innova-1,1688616178,0
Innova-1,1688616180,0
Innova-1,1688616182,0.13
Innova-1,1688616184,0
Innova-1,1688616186,0.13
Innova-1,1688616189,0
Innova-1,1688616191,0
Innova-1,1688616193,0.13
Innova-1,1688616195,0
Innova-1,1688616197,0
Innova-1,1688616199,0
Innova-1,1688616201,0
Innova-1,1688616204,0
Innova-1,1688616206,0
Innova-1,1688616208,0
Innova-1,1688616210,0
Innova-1,1688616212,0.13
Innova-1,1688616214,0
Innova-1,1688616217,0
Innova-1,1688616219,0
Innova-1,1688616221,0.13
Innova-1,1688616223,0
Innova-1,1688616225,0
Innova-1,1688616227,0
Innova-1,1688616229,0
Innova-1,1688616232,0
Innova-1,1688616234,0
Innova-1,1688616236,0
Innova-1,1688616238,0.13
Innova-1,1688616240,0.13
Innova-1,1688616242,0
Innova-1,1688616244,0
Innova-1,1688616247,0.13
Innova-1,1688616249,0
Innova-1,1688616251,0
Innova-1,1688616253,0
Innova-1,1688616255,0
Innova-1,1688616257,0
Innova-1,1688616259,0
Innova-1,1688616261,0.13
Innova-1,1688616264,0.27
Innova-1,1688616266,0.13
Innova-1,1688616268,0
Innova-1,1688616270,0.13
Innova-1,1688616272,0
Innova-1,1688616274,0
Innova-1,1688616277,0
Innova-1,1688616279,0
Innova-1,1688616281,0
Innova-1,1688616283,0
Innova-1,1688616285,0
Innova-1,1688616287,0
Innova-1,1688616289,0
Innova-1,1688616292,0
Innova-1,1688616294,0
Innova-1,1688616296,0
Innova-1,1688616298,0
Innova-1,1688616300,0.13
Innova-1,1688616302,0.13
Innova-1,1688616304,0
Innova-1,1688616307,0
Innova-1,1688616309,0
Innova-1,1688616311,0
Innova-1,1688616313,0
Innova-1,1688616315,0
Innova-1,1688616317,0
Innova-1,1688616319,0
Innova-1,1688616321,0.13
Innova-1,1688616324,0
Innova-1,1688616326,0
Innova-1,1688616328,0
Innova-1,1688616330,0
Innova-1,1688616332,0
Innova-1,1688616334,0.13
Innova-1,1688616337,0
Innova-1,1688616339,0.13
Innova-1,1688616341,0.13
Innova-1,1688616343,0
Innova-1,1688616345,0
Innova-1,1688616347,0
Innova-1,1688616349,0.13
Innova-1,1688616351,0.4
Innova-1,1688616354,0
Innova-1,1688616356,0
Innova-1,1688616358,0
Innova-1,1688616360,0.13
Innova-1,1688616362,0
Innova-1,1688616364,0
Innova-1,1688616367,0.13
Innova-1,1688616369,0
Innova-1,1688616371,0
Innova-1,1688616373,0
Innova-1,1688616375,0.13
Innova-1,1688616377,0
Innova-1,1688616379,0.13
Innova-1,1688616383,0
Innova-1,1688616385,0.27
Innova-1,1688616387,0
Innova-1,1688616389,0
Innova-1,1688616391,0.13
Innova-1,1688616393,0
Innova-1,1688616395,0
Innova-1,1688616397,0.13
Innova-1,1688616400,0
Innova-1,1688616402,0
Innova-1,1688616404,0
Innova-1,1688616406,0
Innova-1,1688616408,0
Innova-1,1688616410,0.4
Innova-1,1688616413,0
Innova-1,1688616415,0.13
Innova-1,1688616417,0
Innova-1,1688616419,0.13
Innova-1,1688616421,0
Innova-1,1688616423,0
Innova-1,1688616425,0
Innova-1,1688616427,0.27
Innova-1,1688616430,0.13
Innova-1,1688616432,0.13
Innova-1,1688616434,0
Innova-1,1688616436,0
Innova-1,1688616438,0.13
Innova-1,1688616440,0.27
Innova-1,1688616443,0
Innova-1,1688616445,0
Innova-1,1688616447,0.13
Innova-1,1688616449,0.13
Innova-1,1688616451,0
Innova-1,1688616453,0.13
Innova-1,1688616455,0
Innova-1,1688616457,0
Innova-1,1688616460,0
Innova-1,1688616462,0.13
Innova-1,1688616464,0
Innova-1,1688616466,0.13
Innova-1,1688616468,0.13
Innova-1,1688616470,0
Innova-1,1688616473,0
Innova-1,1688616475,0
Innova-1,1688616477,0
Innova-1,1688616479,0
Innova-1,1688616481,0.13
Innova-1,1688616483,0
Innova-1,1688616485,0
Innova-1,1688616487,0
Innova-1,1688616490,0
Innova-1,1688616492,0
Innova-1,1688616494,0.13
Innova-1,1688616496,0.13
Innova-1,1688616498,0
Innova-1,1688616500,0
Innova-1,1688616502,0.13
Innova-1,1688616505,0
Innova-1,1688616507,0
Innova-1,1688616509,0
Innova-1,1688616511,0.13
Innova-1,1688616513,0
Innova-1,1688616515,0
Innova-1,1688616517,0
Innova-1,1688616520,0
Innova-1,1688616522,0
Innova-1,1688616524,0.13
Innova-1,1688616526,0
Innova-1,1688616528,0
Innova-1,1688616530,0
Innova-1,1688616532,0
Innova-1,1688616535,0
Innova-1,1688616537,0
Innova-1,1688616539,0
Innova-1,1688616541,0
Innova-1,1688616543,0
Innova-1,1688616545,0
Innova-1,1688616547,0.13
Innova-1,1688616550,0
Innova-1,1688616552,0
Innova-1,1688616554,0
Innova-1,1688616556,0
Innova-1,1688616558,0
Innova-1,1688616560,0
Innova-1,1688616563,0
Innova-1,1688616565,0
Innova-1,1688616567,0
Innova-1,1688616569,0.13
Innova-1,1688616571,0.13
Innova-1,1688616573,0
Innova-1,1688616575,0
Innova-1,1688616577,0.13
Innova-1,1688616580,0
Innova-1,1688616582,0.13
Innova-1,1688616584,0.13
Innova-1,1688616586,0.27
Innova-1,1688616588,0
Innova-1,1688616591,0
Innova-1,1688616593,0.13
Innova-1,1688616595,0
Innova-1,1688616597,0
Innova-1,1688616599,0
Innova-1,1688616601,0
Innova-1,1688616604,0
Innova-1,1688616606,0
Innova-1,1688616608,0.13
Innova-1,1688616610,0
Innova-1,1688616612,0
Innova-1,1688616614,0
Innova-1,1688616617,0.13
Innova-1,1688616619,0
Innova-1,1688616621,0.13
Innova-1,1688616623,0
Innova-1,1688616625,0
Innova-1,1688616627,0
Innova-1,1688616629,0.27
Innova-1,1688616631,0
Innova-1,1688616634,0.13
Innova-1,1688616636,0
Innova-1,1688616638,0.13
Innova-1,1688616640,0.13
Innova-1,1688616642,0
Innova-1,1688616644,0
Innova-1,1688616646,0.13
Innova-1,1688616649,0
Innova-1,1688616651,0.13
Innova-1,1688616653,0
Innova-1,1688616655,0
Innova-1,1688616657,0.13
Innova-1,1688616659,0
Innova-1,1688616661,0
Innova-1,1688616664,0
Innova-1,1688616666,0
Innova-1,1688616668,0.13
Innova-1,1688616670,0
Innova-1,1688616672,0.13
Innova-1,1688616674,0.13
Innova-1,1688616677,0
Innova-1,1688616679,0
Innova-1,1688616681,0
Innova-1,1688616683,0
Innova-1,1688616685,0
Innova-1,1688616687,0
Innova-1,1688616689,0
Innova-1,1688616691,0.13
Innova-1,1688616694,0
Innova-1,1688616696,0
Innova-1,1688616698,0.13
Innova-1,1688616700,0.13
Innova-1,1688616702,0.27
Innova-1,1688616704,0
Innova-1,1688616707,0
Innova-1,1688616709,0
Innova-1,1688616711,0
Innova-1,1688616713,0.13
Innova-1,1688616715,0
Innova-1,1688616717,0
Innova-1,1688616719,0.13
Innova-1,1688616722,0.27
Innova-1,1688616724,0
Innova-1,1688616726,0.13
Innova-1,1688616728,0
Innova-1,1688616730,0
Innova-1,1688616732,0
Innova-1,1688616734,0.13
Innova-1,1688616737,0.13
Innova-1,1688616739,0
Innova-1,1688616742,0.13
Innova-1,1688616744,0
Innova-1,1688616746,0
Innova-1,1688616748,0
Innova-1,1688616750,0.13
Innova-1,1688616752,0
Innova-1,1688616755,0
Innova-1,1688616757,0
Innova-1,1688616759,0.13
Innova-1,1688616761,0
Innova-1,1688616763,0.27
Innova-1,1688616765,0
Innova-1,1688616768,0
Innova-1,1688616770,0.13
Innova-1,1688616772,0
Innova-1,1688616774,0.13
Innova-1,1688616776,0.13
Innova-1,1688616778,0
Innova-1,1688616780,0
Innova-1,1688616783,0
Innova-1,1688616785,0
Innova-1,1688616787,0
Innova-1,1688616789,0
Innova-1,1688616791,0
Innova-1,1688616793,0
Innova-1,1688616795,0.13
