station,time,waterMeasured
Innova-1,1688659202,0.4
Innova-1,1688659204,0
Innova-1,1688659206,0
Innova-1,1688659208,0.13
Innova-1,1688659210,0
Innova-1,1688659212,0
Innova-1,1688659214,0
Innova-1,1688659216,0
Innova-1,1688659219,0
Innova-1,1688659221,0
Innova-1,1688659223,0.13
Innova-1,1688659225,0
Innova-1,1688659227,0
Innova-1,1688659230,0
Innova-1,1688659232,0.13
Innova-1,1688659234,0
Innova-1,1688659236,0.13
Innova-1,1688659238,0
Innova-1,1688659240,0
Innova-1,1688659243,0.13
Innova-1,1688659245,0.13
Innova-1,1688659247,0.13
Innova-1,1688659249,0
Innova-1,1688659252,0
Innova-1,1688659254,0
Innova-1,1688659256,0.13
Innova-1,1688659258,0
Innova-1,1688659260,0
Innova-1,1688659262,0.13
Innova-1,1688659265,0
Innova-1,1688659267,0
Innova-1,1688659269,0.27
Innova-1,1688659271,0.4
Innova-1,1688659273,0.27
Innova-1,1688659275,0
Innova-1,1688659277,0.13
Innova-1,1688659280,0
Innova-1,1688659282,0.27
Innova-1,1688659284,0
Innova-1,1688659286,0.13
Innova-1,1688659288,0.4
Innova-1,1688659290,0.13
Innova-1,1688659292,0.13
Innova-1,1688659295,0
Innova-1,1688659297,0
Innova-1,1688659299,0.13
Innova-1,1688659301,0.27
Innova-1,1688659303,0
Innova-1,1688659305,0.13
Innova-1,1688659308,0.4
Innova-1,1688659310,0
Innova-1,1688659312,0.13
Innova-1,1688659314,0.13
Innova-1,1688659316,0.27
Innova-1,1688659318,0.13
Innova-1,1688659321,0
Innova-1,1688659323,0.13
Innova-1,1688659325,0
Innova-1,1688659327,0.4
Innova-1,1688659329,0.13
Innova-1,1688659331,0.13
Innova-1,1688659333,0.13
Innova-1,1688659336,0.27
Innova-1,1688659338,0.13
Innova-1,1688659340,0.4
Innova-1,1688659342,0
Innova-1,1688659344,0
Innova-1,1688659346,0.27
Innova-1,1688659348,0
Innova-1,1688659350,0
Innova-1,1688659353,0
Innova-1,1688659355,0
Innova-1,1688659357,0.13
Innova-1,1688659359,0
Innova-1,1688659361,0.27
Innova-1,1688659363,0.13
Innova-1,1688659365,0
Innova-1,1688659368,0.13
Innova-1,1688659370,0.13
Innova-1,1688659372,0.13
Innova-1,1688659374,0.13
Innova-1,1688659376,0
Innova-1,1688659378,0
Innova-1,1688659381,0.27
Innova-1,1688659383,0
Innova-1,1688659385,0.13
Innova-1,1688659387,0
Innova-1,1688659389,0
Innova-1,1688659391,0
Innova-1,1688659394,0
Innova-1,1688659396,0
Innova-1,1688659398,0
Innova-1,1688659400,0
Innova-1,1688659402,0
Innova-1,1688659404,0
Innova-1,1688659407,0.27
Innova-1,1688659409,0.13
Innova-1,1688659411,0
Innova-1,1688659413,0
Innova-1,1688659415,0
Innova-1,1688659417,0
Innova-1,1688659419,0
Innova-1,1688659421,0
Innova-1,1688659424,0.13
Innova-1,1688659426,0.13
Innova-1,1688659428,0.27
Innova-1,1688659430,0
Innova-1,1688659432,0
Innova-1,1688659434,0
Innova-1,1688659436,0
Innova-1,1688659439,0.53
Innova-1,1688659441,0.13
Innova-1,1688659444,0.13
Innova-1,1688659446,0
Innova-1,1688659448,0.27
Innova-1,1688659450,0.27
Innova-1,1688659452,0.13
Innova-1,1688659454,0.13
Innova-1,1688659457,0
Innova-1,1688659459,0.13
Innova-1,1688659461,0.13
Innova-1,1688659463,0.13
Innova-1,1688659465,0.13
Innova-1,1688659467,0.27
Innova-1,1688659469,0.13
Innova-1,1688659472,0.13
Innova-1,1688659474,0
Innova-1,1688659476,0.13
Innova-1,1688659478,0.13
Innova-1,1688659480,0.13
Innova-1,1688659482,0
Innova-1,1688659484,0
Innova-1,1688659487,0.13
Innova-1,1688659489,0.13
Innova-1,1688659491,0
Innova-1,1688659493,0.13
Innova-1,1688659495,0
Innova-1,1688659497,0
Innova-1,1688659500,0
Innova-1,1688659502,0.13
Innova-1,1688659504,0.13
Innova-1,1688659506,0
Innova-1,1688659508,0.13
Innova-1,1688659510,0.13
Innova-1,1688659512,0
Innova-1,1688659515,0.27
Innova-1,1688659517,0
Innova-1,1688659519,0.27
Innova-1,1688659521,0.13
Innova-1,1688659523,0.13
Innova-1,1688659525,0.27
Innova-1,1688659527,0.4
Innova-1,1688659530,0
Innova-1,1688659532,0
Innova-1,1688659534,0
Innova-1,1688659536,0
Innova-1,1688659538,0.27
Innova-1,1688659540,0.13
Innova-1,1688659543,0
Innova-1,1688659545,0
Innova-1,1688659547,0.13
Innova-1,1688659549,0.27
Innova-1,1688659551,0.13
Innova-1,1688659553,0
Innova-1,1688659555,0.13
Innova-1,1688659557,0
Innova-1,1688659560,0.13
Innova-1,1688659562,0.13
Innova-1,1688659564,0
Innova-1,1688659566,0
Innova-1,1688659568,0
Innova-1,1688659570,0
Innova-1,1688659573,0
Innova-1,1688659575,0
Innova-1,1688659577,0
Innova-1,1688659579,0
Innova-1,1688659581,0.27
Innova-1,1688659583,0
Innova-1,1688659585,0.13
Innova-1,1688659588,0.27
Innova-1,1688659590,0.13
Innova-1,1688659592,0.13
Innova-1,1688659594,0
Innova-1,1688659596,0.13
Innova-1,1688659598,0.27
Innova-1,1688659600,0
Innova-1,1688659603,0
Innova-1,1688659605,0
Innova-1,1688659607,0
Innova-1,1688659609,0
Innova-1,1688659611,0
Innova-1,1688659613,0.13
Innova-1,1688659616,0.13
Innova-1,1688659618,0.27
Innova-1,1688659620,0.13
Innova-1,1688659622,0
Innova-1,1688659624,0.13
Innova-1,1688659626,0
Innova-1,1688659629,0
Innova-1,1688659631,0
Innova-1,1688659633,0.27
Innova-1,1688659635,0
Innova-1,1688659637,0.27
Innova-1,1688659639,0.13
Innova-1,1688659642,0.13
Innova-1,1688659644,0
Innova-1,1688659646,0
Innova-1,1688659648,0.27
Innova-1,1688659650,0
Innova-1,1688659652,0
Innova-1,1688659654,0.13
Innova-1,1688659657,0
Innova-1,1688659659,0
Innova-1,1688659662,0
Innova-1,1688659664,0
Innova-1,1688659666,0
Innova-1,1688659668,0.13
Innova-1,1688659670,0
Innova-1,1688659672,0.13
Innova-1,1688659674,0.13
Innova-1,1688659676,0
Innova-1,1688659679,0
Innova-1,1688659681,0.13
Innova-1,1688659683,0.13
Innova-1,1688659685,0.27
Innova-1,1688659687,0.27
Innova-1,1688659689,0.4
Innova-1,1688659692,0
Innova-1,1688659694,0.13
Innova-1,1688659696,0
Innova-1,1688659698,0
Innova-1,1688659700,0.13
Innova-1,1688659702,0
Innova-1,1688659704,0
Innova-1,1688659707,0
Innova-1,1688659709,0
Innova-1,1688659711,0.27
Innova-1,1688659713,0
Innova-1,1688659715,0
Innova-1,1688659717,0.27
Innova-1,1688659719,0.53
Innova-1,1688659722,0.27
Innova-1,1688659724,0
Innova-1,1688659726,0
Innova-1,1688659728,0
Innova-1,1688659730,0
Innova-1,1688659732,0
Innova-1,1688659734,0.27
Innova-1,1688659736,0
Innova-1,1688659739,0
Innova-1,1688659741,0
Innova-1,1688659743,0
Innova-1,1688659745,0.13
Innova-1,1688659747,0.13
Innova-1,1688659750,0.27
Innova-1,1688659752,0.4
Innova-1,1688659754,0.13
Innova-1,1688659756,0
Innova-1,1688659758,0.13
Innova-1,1688659760,0
Innova-1,1688659763,0.4
Innova-1,1688659765,0.13
Innova-1,1688659767,0
Innova-1,1688659769,0.27
Innova-1,1688659771,0.13
Innova-1,1688659773,0
Innova-1,1688659776,0
Innova-1,1688659778,0
Innova-1,1688659780,0
Innova-1,1688659782,0.27
Innova-1,1688659784,0
Innova-1,1688659786,0.13
