station,time,waterMeasured
Innova-1,1689436801,8617.33
Innova-1,1689436804,7887.2
Innova-1,1689436806,8144
Innova-1,1689436808,8192.13
Innova-1,1689436810,8308.4
Innova-1,1689436812,8163.73
Innova-1,1689436814,8173.6
Innova-1,1689436817,8147.47
Innova-1,1689436819,8121.07
Innova-1,1689436821,8238.4
Innova-1,1689436823,8097.73
Innova-1,1689436825,7974.13
Innova-1,1689436827,8216.4
Innova-1,1689436829,8273.73
Innova-1,1689436832,8133.33
Innova-1,1689436834,8398.53
Innova-1,1689436836,8184.53
Innova-1,1689436838,8117.47
Innova-1,1689436840,8124
Innova-1,1689436842,8007.2
Innova-1,1689436844,8128.4
Innova-1,1689436847,8167.33
Innova-1,1689436849,8204.13
Innova-1,1689436851,8047.33
Innova-1,1689436853,8168.4
Innova-1,1689436855,7930.53
Innova-1,1689436859,14983.33
Innova-1,1689436861,8086.8
Innova-1,1689436864,8011.73
Innova-1,1689436866,8063.33
Innova-1,1689436868,8021.47
Innova-1,1689436870,7707.73
Innova-1,1689436872,8080
Innova-1,1689436874,8097.2
Innova-1,1689436876,8035.07
Innova-1,1689436878,8081.33
Innova-1,1689436881,8067.87
Innova-1,1689436883,7937.33
Innova-1,1689436885,8210.93
Innova-1,1689436887,8033.47
Innova-1,1689436889,8016.4
Innova-1,1689436891,8053.2
Innova-1,1689436894,8182.67
Innova-1,1689436896,8065.07
Innova-1,1689436898,8133.33
Innova-1,1689436900,8073.47
Innova-1,1689436902,8020.27
Innova-1,1689436904,8012.13
Innova-1,1689436906,8164.4
Innova-1,1689436909,8237.47
Innova-1,1689436911,8121.33
Innova-1,1689436913,8040.53
Innova-1,1689436915,8150.8
Innova-1,1689436917,7730.67
Innova-1,1689436919,7801.87
Innova-1,1689436921,7946.93
Innova-1,1689436924,7967.73
Innova-1,1689436926,7991.33
Innova-1,1689436928,8123.6
Innova-1,1689436930,8043.07
Innova-1,1689436932,7948
Innova-1,1689436934,7978.27
Innova-1,1689436936,8060.27
Innova-1,1689436939,7962.93
Innova-1,1689436941,8015.47
Innova-1,1689436943,7865.2
Innova-1,1689436945,8042
Innova-1,1689436947,8004.93
Innova-1,1689436949,8140.53
Innova-1,1689436951,7920
Innova-1,1689436954,8064.93
Innova-1,1689436956,8058.8
Innova-1,1689436958,8123.6
Innova-1,1689436960,7913.73
Innova-1,1689436962,8202.53
Innova-1,1689436964,8087.07
Innova-1,1689436967,8368.67
Innova-1,1689436969,8246.93
Innova-1,1689436971,8084.4
Innova-1,1689436973,8142
Innova-1,1689436975,8117.33
Innova-1,1689436977,8304
Innova-1,1689436979,8284.13
Innova-1,1689436982,8337.6
Innova-1,1689436984,7885.47
Innova-1,1689436987,11464.8
Innova-1,1689436989,8184.67
Innova-1,1689436991,8165.33
Innova-1,1689436993,8152
Innova-1,1689436995,8240.8
Innova-1,1689436997,8331.73
Innova-1,1689437000,8221.87
Innova-1,1689437002,8434.67
Innova-1,1689437004,8412.27
Innova-1,1689437006,8275.07
Innova-1,1689437008,8473.73
Innova-1,1689437010,8282.27
