station,time,waterMeasured
Innova-1,1690603202,2860.4
Innova-1,1690603204,2483.73
Innova-1,1690603206,2498.27
Innova-1,1690603208,2467.87
Innova-1,1690603210,2490.4
Innova-1,1690603213,2734.4
Innova-1,1690603215,2625.47
Innova-1,1690603217,2497.73
Innova-1,1690603219,2733.33
Innova-1,1690603222,2652.4
Innova-1,1690603224,2471.47
Innova-1,1690603226,2499.07
Innova-1,1690603228,2490.67
Innova-1,1690603230,2650.67
Innova-1,1690603233,2490
Innova-1,1690603235,2500.27
Innova-1,1690603237,2492.93
Innova-1,1690603239,2648.13
Innova-1,1690603242,3800.4
Innova-1,1690603245,2641.87
Innova-1,1690603247,2725.07
Innova-1,1690603249,2640.67
Innova-1,1690603252,2706.27
Innova-1,1690603254,2512
Innova-1,1690603256,2517.2
Innova-1,1690603258,2514.93
Innova-1,1690603260,2556.53
Innova-1,1690603262,2469.47
Innova-1,1690603265,2506
Innova-1,1690603267,2384.93
Innova-1,1690603269,2531.6
Innova-1,1690603271,2505.6
Innova-1,1690603273,2506.67
Innova-1,1690603275,2502.4
Innova-1,1690603277,2487.73
Innova-1,1690603280,2864
Innova-1,1690603282,2537.47
Innova-1,1690603284,2507.07
Innova-1,1690603286,2536.67
Innova-1,1690603288,2510.93
Innova-1,1690603291,2526.8
Innova-1,1690603293,2500
Innova-1,1690603295,2520.4
Innova-1,1690603297,2625.2
Innova-1,1690603299,2783.33
Innova-1,1690603302,2538.67
Innova-1,1690603304,2530.4
Innova-1,1690603306,2651.6
Innova-1,1690603308,2544.8
Innova-1,1690603310,2527.73
Innova-1,1690603312,2538.27
Innova-1,1690603315,2531.87
Innova-1,1690603317,2506.53
Innova-1,1690603319,2542.67
Innova-1,1690603321,2667.07
Innova-1,1690603323,2541.47
Innova-1,1690603325,2526.67
Innova-1,1690603328,2527.6
Innova-1,1690603330,2420
Innova-1,1690603332,2548.67
Innova-1,1690603334,2535.2
Innova-1,1690603336,2557.33
Innova-1,1690603338,2546.53
Innova-1,1690603340,2518
Innova-1,1690603343,2643.07
Innova-1,1690603346,3879.6
Innova-1,1690603348,2516.13
Innova-1,1690603350,2549.33
Innova-1,1690603352,2511.2
Innova-1,1690603355,2537.2
Innova-1,1690603357,2535.87
Innova-1,1690603359,2664.27
Innova-1,1690603361,2564.67
Innova-1,1690603363,2524.27
Innova-1,1690603365,2519.87
Innova-1,1690603368,2536.93
Innova-1,1690603370,2544.4
Innova-1,1690603372,2533.73
Innova-1,1690603374,2538
Innova-1,1690603376,2547.73
Innova-1,1690603378,2783.6
Innova-1,1690603381,2804.8
Innova-1,1690603383,2534.93
Innova-1,1690603385,2537.6
Innova-1,1690603387,2664.27
Innova-1,1690603390,2551.87
Innova-1,1690603392,2563.33
Innova-1,1690603394,2529.6
Innova-1,1690603396,2515.2
Innova-1,1690603398,2549.47
Innova-1,1690603400,2547.07
Innova-1,1690603403,2781.2
Innova-1,1690603405,2539.6
Innova-1,1690603407,2650.4
Innova-1,1690603409,2553.87
Innova-1,1690603411,2567.07
Innova-1,1690603414,2568.13
Innova-1,1690603416,2427.47
Innova-1,1690603418,2558.53
Innova-1,1690603420,2542.53
Innova-1,1690603422,2548
Innova-1,1690603424,2552.53
Innova-1,1690603426,2555.73
Innova-1,1690603428,2569.47
Innova-1,1690603431,2529.07
Innova-1,1690603433,2562.67
Innova-1,1690603435,2666.13
Innova-1,1690603437,2596.13
Innova-1,1690603439,2542
Innova-1,1690603441,2564.13
Innova-1,1690603444,2566
Innova-1,1690603446,2550.4
Innova-1,1690603448,2570.53
Innova-1,1690603450,2806.13
Innova-1,1690603452,2568.4
Innova-1,1690603455,2706.27
Innova-1,1690603457,2552.27
Innova-1,1690603459,2573.07
Innova-1,1690603461,2544.27
Innova-1,1690603463,2567.2
Innova-1,1690603466,2794.4
Innova-1,1690603468,2572
Innova-1,1690603470,2447.87
Innova-1,1690603472,2528.27
Innova-1,1690603474,2558.53
Innova-1,1690603476,2564.67
Innova-1,1690603478,2576.8
Innova-1,1690603481,2537.2
Innova-1,1690603483,2619.33
Innova-1,1690603485,2576.8
Innova-1,1690603487,2572.4
Innova-1,1690603489,2444.4
Innova-1,1690603491,2575.33
Innova-1,1690603493,2551.33
Innova-1,1690603496,2576.53
Innova-1,1690603498,2588
Innova-1,1690603500,2547.07
Innova-1,1690603502,2592.67
Innova-1,1690603504,2536.4
Innova-1,1690603506,2689.87
Innova-1,1690603509,2587.2
Innova-1,1690603511,2562.53
Innova-1,1690603513,2566
Innova-1,1690603515,2718.53
Innova-1,1690603517,2567.87
Innova-1,1690603519,2581.2
Innova-1,1690603522,2533.6
Innova-1,1690603524,2715.07
Innova-1,1690603526,2698.13
Innova-1,1690603528,2570.53
Innova-1,1690603530,2597.6
Innova-1,1690603532,2570.27
Innova-1,1690603535,2699.73
Innova-1,1690603537,2579.33
Innova-1,1690603539,2580.53
Innova-1,1690603541,2553.2
Innova-1,1690603543,2587.07
Innova-1,1690603546,2576.67
Innova-1,1690603548,2570.8
Innova-1,1690603550,2608.93
Innova-1,1690603552,2573.2
Innova-1,1690603554,2570.8
Innova-1,1690603556,2602
Innova-1,1690603559,2726.27
Innova-1,1690603561,2637.07
Innova-1,1690603563,2554.27
Innova-1,1690603565,2706
Innova-1,1690603567,2722.93
Innova-1,1690603569,2606.27
Innova-1,1690603572,2577.73
Innova-1,1690603574,2709.47
Innova-1,1690603576,2581.47
Innova-1,1690603578,2480.4
Innova-1,1690603580,2590.4
Innova-1,1690603582,2578.27
Innova-1,1690603585,2588.4
Innova-1,1690603587,2579.33
Innova-1,1690603589,2581.47
Innova-1,1690603591,2578.13
Innova-1,1690603593,2611.73
Innova-1,1690603595,2589.87
Innova-1,1690603597,2585.87
Innova-1,1690603600,2601.6
Innova-1,1690603602,2584.93
Innova-1,1690603604,2598.13
Innova-1,1690603606,2598.67
Innova-1,1690603608,2575.33
Innova-1,1690603610,2713.73
Innova-1,1690603613,2603.47
Innova-1,1690603615,2591.47
Innova-1,1690603617,2618.27
Innova-1,1690603619,2695.47
Innova-1,1690603621,2612.67
Innova-1,1690603623,2592.4
Innova-1,1690603626,2618.93
Innova-1,1690603628,2752.93
Innova-1,1690603630,2623.73
Innova-1,1690603632,2839.07
Innova-1,1690603634,2602.93
Innova-1,1690603637,2606.27
Innova-1,1690603639,2580.8
Innova-1,1690603641,2594.4
Innova-1,1690603643,2963.73
Innova-1,1690603646,2632.13
Innova-1,1690603648,2601.47
Innova-1,1690603650,2462
Innova-1,1690603652,2613.87
Innova-1,1690603654,2604.93
Innova-1,1690603656,2603.2
Innova-1,1690603658,2572.67
Innova-1,1690603660,2605.2
Innova-1,1690603663,2572.8
Innova-1,1690603665,2659.87
Innova-1,1690603667,2589.47
Innova-1,1690603669,2597.33
Innova-1,1690603671,2595.07
Innova-1,1690603673,2598.93
Innova-1,1690603676,2621.33
Innova-1,1690603678,2585.07
Innova-1,1690603680,2620.4
Innova-1,1690603682,2613.73
Innova-1,1690603684,2612.67
Innova-1,1690603686,2635.73
Innova-1,1690603689,2834.4
Innova-1,1690603691,2630.67
Innova-1,1690603693,2748.27
Innova-1,1690603695,2611.33
Innova-1,1690603697,2625.2
Innova-1,1690603699,2579.87
Innova-1,1690603702,2640.4
Innova-1,1690603704,2614.4
Innova-1,1690603706,2740.8
Innova-1,1690603708,2622
Innova-1,1690603710,2611.87
Innova-1,1690603713,2743.73
Innova-1,1690603715,2619.33
Innova-1,1690603717,2623.47
Innova-1,1690603719,2758
Innova-1,1690603721,2627.33
Innova-1,1690603723,2636.53
Innova-1,1690603726,2616.67
Innova-1,1690603728,2639.6
Innova-1,1690603730,2632.13
Innova-1,1690603732,2599.6
Innova-1,1690603734,2627.87
Innova-1,1690603736,2619.73
Innova-1,1690603738,2636.4
Innova-1,1690603741,2664.93
Innova-1,1690603743,2694.4
Innova-1,1690603745,2641.6
Innova-1,1690603747,2615.47
Innova-1,1690603749,2612.4
Innova-1,1690603752,2758.8
Innova-1,1690603754,2637.07
Innova-1,1690603756,2611.33
Innova-1,1690603758,2623.2
Innova-1,1690603760,2629.87
Innova-1,1690603762,2616.8
Innova-1,1690603765,2619.47
Innova-1,1690603767,2636.93
Innova-1,1690603769,2892
Innova-1,1690603771,2659.73
Innova-1,1690603773,2759.73
Innova-1,1690603776,2635.73
Innova-1,1690603778,2661.73
Innova-1,1690603780,2671.2
Innova-1,1690603782,2590
Innova-1,1690603784,2632.8
Innova-1,1690603786,2659.47
Innova-1,1690603788,2637.87
Innova-1,1690603791,2630.93
Innova-1,1690603793,2655.33
