station,time,waterMeasured
Innova-1,1689177600,10040.27
Innova-1,1689177602,9875.2
Innova-1,1689177604,9806.8
Innova-1,1689177606,9900.93
Innova-1,1689177608,9404.4
Innova-1,1689177610,9849.47
Innova-1,1689177613,10188.67
Innova-1,1689177615,10198.27
Innova-1,1689177617,10135.73
Innova-1,1689177619,9963.07
Innova-1,1689177621,10020.4
Innova-1,1689177623,9971.33
Innova-1,1689177626,9674.53
Innova-1,1689177628,9805.2
Innova-1,1689177630,9826.8
Innova-1,1689177632,9930
Innova-1,1689177634,9830.93
Innova-1,1689177636,9939.87
Innova-1,1689177639,9949.47
Innova-1,1689177641,9878.93
Innova-1,1689177643,9955.47
Innova-1,1689177645,9918.4
Innova-1,1689177647,9968.27
Innova-1,1689177649,9836.67
Innova-1,1689177651,10055.87
Innova-1,1689177654,9814.4
Innova-1,1689177656,10012.67
Innova-1,1689177658,10567.6
Innova-1,1689177660,10075.2
Innova-1,1689177662,9943.73
Innova-1,1689177664,10050.4
Innova-1,1689177667,10037.2
Innova-1,1689177669,9994.67
Innova-1,1689177671,10004.4
Innova-1,1689177673,10052
Innova-1,1689177675,9918.93
Innova-1,1689177677,10066.67
Innova-1,1689177679,9946.27
Innova-1,1689177682,10110.13
Innova-1,1689177684,10019.2
Innova-1,1689177686,10002.8
Innova-1,1689177688,10510.67
Innova-1,1689177690,10017.6
Innova-1,1689177692,9927.2
Innova-1,1689177695,10006.67
Innova-1,1689177697,9920.4
Innova-1,1689177699,9951.07
Innova-1,1689177701,9853.73
Innova-1,1689177703,9900.27
Innova-1,1689177705,9825.33
Innova-1,1689177708,9905.73
Innova-1,1689177710,9818.67
Innova-1,1689177712,9836.13
Innova-1,1689177714,9932
Innova-1,1689177716,10304.13
Innova-1,1689177718,10232
Innova-1,1689177721,9947.6
Innova-1,1689177723,10214
Innova-1,1689177725,10227.73
Innova-1,1689177727,9837.07
Innova-1,1689177729,9832.8
Innova-1,1689177731,9463.73
Innova-1,1689177734,10010.13
Innova-1,1689177736,9789.07
Innova-1,1689177738,9919.07
Innova-1,1689177740,10000
Innova-1,1689177742,9867.47
Innova-1,1689177744,9947.47
Innova-1,1689177747,10060.93
Innova-1,1689177749,10498.67
Innova-1,1689177751,9927.33
Innova-1,1689177753,9946.27
Innova-1,1689177755,9869.6
Innova-1,1689177757,10003.73
Innova-1,1689177760,9880.27
Innova-1,1689177762,9912.67
Innova-1,1689177764,9968.53
Innova-1,1689177766,9741.73
Innova-1,1689177768,9986.4
Innova-1,1689177770,9815.73
Innova-1,1689177772,9886.53
Innova-1,1689177775,9874
Innova-1,1689177777,9901.33
Innova-1,1689177779,9875.87
Innova-1,1689177781,9935.2
Innova-1,1689177783,9849.87
Innova-1,1689177785,9870
Innova-1,1689177787,9801.33
Innova-1,1689177790,9778
Innova-1,1689177792,9846.4
Innova-1,1689177794,9847.87
Innova-1,1689177796,10013.47
Innova-1,1689177798,9853.73
Innova-1,1689177800,9921.2
Innova-1,1689177803,9956.13
Innova-1,1689177805,9812.13
Innova-1,1689177807,10090.4
Innova-1,1689177809,10292.13
Innova-1,1689177811,9802.53
Innova-1,1689177813,9890.53
Innova-1,1689177816,9940.27
Innova-1,1689177818,9951.6
Innova-1,1689177820,9920.8
Innova-1,1689177822,9786.53
Innova-1,1689177824,9837.6
Innova-1,1689177826,9950.67
Innova-1,1689177828,9992.67
Innova-1,1689177831,9884.67
Innova-1,1689177833,9782.13
Innova-1,1689177835,9761.73
Innova-1,1689177837,9954
Innova-1,1689177839,10362.27
Innova-1,1689177841,9746.67
Innova-1,1689177844,10059.2
Innova-1,1689177846,9780.8
Innova-1,1689177848,9802.67
Innova-1,1689177850,9397.73
Innova-1,1689177852,9910.27
Innova-1,1689177854,9888.53
Innova-1,1689177856,9933.2
Innova-1,1689177859,9893.07
Innova-1,1689177861,9773.87
Innova-1,1689177863,9876.67
Innova-1,1689177865,9878.4
Innova-1,1689177867,9856.27
Innova-1,1689177869,9875.6
Innova-1,1689177871,9839.73
Innova-1,1689177874,9843.87
Innova-1,1689177876,9888.53
Innova-1,1689177878,9876.8
Innova-1,1689177880,9844.27
Innova-1,1689177882,9813.33
Innova-1,1689177884,9897.73
Innova-1,1689177887,9854
Innova-1,1689177889,9781.33
Innova-1,1689177891,9877.2
Innova-1,1689177893,9812.4
Innova-1,1689177895,9964.27
Innova-1,1689177897,9841.33
