station,time,waterMeasured
Innova-1,1689350402,11590.4
Innova-1,1689350404,9863.73
Innova-1,1689350406,9779.07
Innova-1,1689350408,9750.27
Innova-1,1689350410,10264.67
Innova-1,1689350413,16659.47
Innova-1,1689350416,10197.87
Innova-1,1689350418,10263.87
Innova-1,1689350420,9840
Innova-1,1689350426,29796.67
Innova-1,1689350428,10085.73
Innova-1,1689350430,10118.13
Innova-1,1689350433,10111.07
Innova-1,1689350435,10093.47
Innova-1,1689350437,10141.33
Innova-1,1689350439,10241.07
Innova-1,1689350441,10216.53
Innova-1,1689350443,10210.27
Innova-1,1689350445,10307.6
Innova-1,1689350448,10174.4
Innova-1,1689350450,10139.07
Innova-1,1689350452,10137.47
Innova-1,1689350454,10185.07
Innova-1,1689350456,10166
Innova-1,1689350458,10111.73
Innova-1,1689350460,9663.2
Innova-1,1689350463,10157.6
Innova-1,1689350465,10098.8
Innova-1,1689350467,10180.53
Innova-1,1689350469,9654.67
Innova-1,1689350471,10155.33
Innova-1,1689350473,10096.8
Innova-1,1689350475,10335.87
Innova-1,1689350477,10046.53
Innova-1,1689350480,10128.67
Innova-1,1689350482,10201.2
Innova-1,1689350484,10032.53
Innova-1,1689350486,10196.27
Innova-1,1689350488,10182.13
Innova-1,1689350490,10259.87
Innova-1,1689350492,9659.87
Innova-1,1689350495,10194
Innova-1,1689350497,10165.73
Innova-1,1689350499,10157.33
Innova-1,1689350501,10303.87
Innova-1,1689350503,10182.53
Innova-1,1689350505,10071.73
Innova-1,1689350507,10241.6
Innova-1,1689350510,10250.27
Innova-1,1689350512,10305.47
Innova-1,1689350514,9634.93
Innova-1,1689350516,10067.87
Innova-1,1689350518,10169.33
Innova-1,1689350521,15971.33
Innova-1,1689350524,10236.53
Innova-1,1689350526,10146.27
Innova-1,1689350528,10207.47
Innova-1,1689350530,10078.53
Innova-1,1689350532,10205.07
Innova-1,1689350534,10142.4
Innova-1,1689350537,10161.47
Innova-1,1689350539,10140.8
Innova-1,1689350541,10200.13
Innova-1,1689350543,10237.47
Innova-1,1689350545,10273.87
Innova-1,1689350547,10704.13
Innova-1,1689350549,9585.47
Innova-1,1689350552,10208.67
Innova-1,1689350554,10022.53
Innova-1,1689350556,10193.73
Innova-1,1689350558,11042
Innova-1,1689350560,10188.13
Innova-1,1689350563,10176.67
Innova-1,1689350565,10190.93
Innova-1,1689350567,10174.53
Innova-1,1689350569,10158.27
Innova-1,1689350571,9691.47
Innova-1,1689350573,10285.73
Innova-1,1689350575,10261.33
Innova-1,1689350578,10224.13
Innova-1,1689350580,10337.73
Innova-1,1689350582,10372.4
Innova-1,1689350584,10809.07
Innova-1,1689350586,10307.87
Innova-1,1689350588,10415.2
Innova-1,1689350591,10249.6
Innova-1,1689350593,10456.67
Innova-1,1689350595,10245.87
Innova-1,1689350597,10328.53
Innova-1,1689350599,10479.47
Innova-1,1689350601,10370
Innova-1,1689350603,10470.67
Innova-1,1689350606,10341.07
Innova-1,1689350608,10283.33
Innova-1,1689350610,10321.73
Innova-1,1689350612,9904
Innova-1,1689350614,10540
Innova-1,1689350616,9844.67
Innova-1,1689350618,10331.33
Innova-1,1689350620,10376.27
Innova-1,1689350623,10406
Innova-1,1689350625,10379.73
Innova-1,1689350627,10538.93
Innova-1,1689350629,10361.6
Innova-1,1689350631,10362.53
Innova-1,1689350633,10513.47
Innova-1,1689350635,10640.67
Innova-1,1689350638,11017.47
Innova-1,1689350640,9913.2
Innova-1,1689350642,10470.8
Innova-1,1689350644,10357.73
Innova-1,1689350646,10312.53
Innova-1,1689350648,10439.6
Innova-1,1689350651,10434
Innova-1,1689350653,10530.4
Innova-1,1689350655,10714.27
Innova-1,1689350657,10278.93
